time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-09T10:47:57.714Z,2.7093,128.2994,96.643,4.7,mb,38,79,2.138,0.77,us,us7000k7bs,2023-06-09T11:07:05.040Z,"113 km NNE of Tobelo, Indonesia",earthquake,9.27,7.491,0.099,31,reviewed,us,us
2023-06-09T10:34:05.118Z,-2.8138,129.2056,10,4.9,mb,61,63,1.835,0.28,us,us7000k7bn,2023-06-09T10:53:58.040Z,"59 km NNE of Masohi, Indonesia",earthquake,6.46,1.877,0.071,63,reviewed,us,us
2023-06-09T09:24:38.997Z,44.1688,149.4259,53.013,4.6,mb,83,135,4.918,0.54,us,us7000k7bd,2023-06-09T10:39:36.040Z,"169 km SE of Kuril’sk, Russia",earthquake,10.47,7.284,0.042,171,reviewed,us,us
2023-06-09T06:09:07.878Z,-13.2265,66.2255,10,4.9,mb,56,82,26.477,0.42,us,us7000k7ax,2023-06-09T06:36:39.040Z,"Mid-Indian Ridge",earthquake,12.59,1.863,0.083,46,reviewed,us,us
2023-06-09T02:24:15.403Z,-1.954,125.6854,10,4.7,mb,28,71,3.05,0.67,us,us7000k7a5,2023-06-09T02:47:21.040Z,"34 km WNW of Sanana, Indonesia",earthquake,6.98,1.621,0.11,26,reviewed,us,us
2023-06-09T01:04:53.136Z,55.3222,163.0929,42.771,4.5,mb,46,122,3.482,0.9,us,us7000k79u,2023-06-09T01:25:18.040Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,12.17,7.571,0.046,140,reviewed,us,us
2023-06-09T00:30:47.246Z,7.2943,125.8738,126.813,4.6,mb,39,51,6.648,0.84,us,us7000k79m,2023-06-09T03:04:32.588Z,"2 km ENE of Pandasan, Philippines",earthquake,10.58,8.222,0.091,36,reviewed,us,us
2023-06-08T21:20:55.870Z,31.2069,130.2375,189.694,4.9,mb,91,117,0.353,0.35,us,us7000k78h,2023-06-08T22:23:14.040Z,"10 km SW of Makurazaki, Japan",earthquake,7.09,5.461,0.038,223,reviewed,us,us
2023-06-08T21:18:25.186Z,55.2564,163.0797,37.601,4.8,mb,64,135,3.434,0.63,us,us7000k78g,2023-06-08T22:10:24.040Z,"114 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,8.27,4.675,0.034,269,reviewed,us,us
2023-06-08T20:34:54.658Z,51.78,177.7778,9.641,4.6,mb,44,153,0.485,0.9,us,us7000k78d,2023-06-08T21:56:42.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,4.54,5.459,0.105,27,reviewed,us,us
2023-06-08T20:33:15.375Z,51.8463,177.6949,11.177,4.6,mb,17,178,0.516,0.65,us,us7000k788,2023-06-08T21:58:16.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,4.39,4.721,0.244,5,reviewed,us,us
2023-06-08T20:31:45.829Z,52.1635,177.7598,7.141,5.7,mww,125,41,0.512,0.97,us,us7000k782,2023-06-13T20:41:53.437Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,6.12,2.971,0.034,85,reviewed,us,us
2023-06-08T19:13:08.356Z,-23.4743,171.006,30.89,4.5,mb,23,116,3.389,0.85,us,us7000k781,2023-06-08T21:35:53.040Z,"southeast of the Loyalty Islands",earthquake,5.77,5.494,0.157,12,reviewed,us,us
